"","dest","origin","num_flights_Top20","num_delays","pct_delays"
"1","JFK","LAX","511","184","0.3600783"
"2","LAX","JFK","466","128","0.2746781"
"3","SFO","JFK","216"," 71","0.3287037"
"4","JFK","SFO","213"," 69","0.3239437"
"5","HNL","LAX","151"," 67","0.4437086"
"6","LAX","HNL","150"," 36","0.2400000"
"7","ORD","LAX","142"," 42","0.2957746"
"8","LAX","ORD","140"," 55","0.3928571"
"9","LAX","BOS","132"," 41","0.3106061"
"10","OGG","LAX","124"," 53","0.4274194"
"11","LAX","OGG","124"," 30","0.2419355"
"12","BOS","LAX"," 86"," 29","0.3372093"
"13","DFW","LAX"," 86"," 23","0.2674419"
"14","LAX","DFW"," 86"," 36","0.4186047"
"15","LAX","LIH"," 84"," 18","0.2142857"
"16","LIH","LAX"," 83"," 34","0.4096386"
"17","LAX","KOA"," 58"," 21","0.3620690"
"18","KOA","LAX"," 58"," 28","0.4827586"
"19","BOS","JFK"," 51"," 21","0.4117647"
"20","LAX","LAS"," 43"," 16","0.3720930"
"21","LAS","LAX"," 43"," 14","0.3255814"
"23","LAX","MIA"," 23"," 10","0.4347826"
"22","MIA","LAX"," 22"," 10","0.4545455"
"24","SFO","LAX"," 14","  6","0.4285714"
"25","LAX","SFO"," 14","  5","0.3571429"
"26","PHX","LAX","  6","  3","0.5000000"
"27","LAX","PHX","  6","  2","0.3333333"
"28","LAX","ATL","  6","  2","0.3333333"
"29","JFK","BOS","  4","  1","0.2500000"
"30","ATL","LAX","  4","  1","0.2500000"
"31","LAX","BNA","  3","  1","0.3333333"
"32","DFW","AUS","  3","  1","0.3333333"
"33","BNA","LAX","  3","  2","0.6666667"
"34","AUS","DFW","  3","  3","1.0000000"
"35","SFO","DFW","  2","  0","0.0000000"
"36","SAT","DFW","  2","  2","1.0000000"
"37","LAX","CLT","  2","  2","1.0000000"
"38","DFW","SFO","  2","  0","0.0000000"
"39","DFW","SAT","  2","  1","0.5000000"
"40","CLT","LAX","  2","  1","0.5000000"
"41","ATL","DFW","  2","  1","0.5000000"
"42","STL","LAX","  1","  1","1.0000000"
"43","SMF","PHX","  1","  1","1.0000000"
"44","SAN","DFW","  1","  1","1.0000000"
"45","PHX","DFW","  1","  1","1.0000000"
"46","PHL","BOS","  1","  0","0.0000000"
"47","PDX","DFW","  1","  1","1.0000000"
"50","LAX","STL","  1","  1","1.0000000"
"51","LAX","PHL","  1","  0","0.0000000"
"52","LAX","ANC","  1","  0","0.0000000"
"53","LAS","DFW","  1","  0","0.0000000"
"54","DFW","SMF","  1","  1","1.0000000"
"55","DFW","SAN","  1","  1","1.0000000"
"56","DFW","PDX","  1","  1","1.0000000"
"57","DFW","ORD","  1","  0","0.0000000"
"58","DFW","LAS","  1","  0","0.0000000"
"59","DFW","DEN","  1","  1","1.0000000"
"60","DFW","DCA","  1","  1","1.0000000"
"61","DEN","DFW","  1","  1","1.0000000"
"62","DCA","DFW","  1","  1","1.0000000"
"63","ANC","LAX","  1","  0","0.0000000"
"48","MSY","LAX","  0","  0",NA
"49","MIA","ORD","  0","  0",NA
