"","tail_num","sum_airtime","num_flights","airline","total_delay","n_delays","avg_airtime","avg_delay","pct_delay","Top25pct_AA","Top25pct_BA","Bottom25pct_AA","Bottom25pct_BA"
"1286",N116AN,47684,158,AA,206,51,301.79746835443,1.30379746835443,0.322784810126582,TRUE,FALSE,FALSE,FALSE
"1073",N117AN,46923,152,AA,1063,40,308.703947368421,6.99342105263158,0.263157894736842,TRUE,FALSE,FALSE,FALSE
"1118",N109NN,46800,155,AA,-225,42,301.935483870968,-1.45161290322581,0.270967741935484,TRUE,FALSE,FALSE,FALSE
"717",N539US,46155,188,BA,1562,59,245.505319148936,8.30851063829787,0.313829787234043,FALSE,TRUE,FALSE,FALSE
"925",N118NN,46139,177,AA,-724,53,260.672316384181,-4.09039548022599,0.299435028248588,TRUE,FALSE,FALSE,FALSE
"457",N585NW,45615,196,BA,713,71,232.729591836735,3.63775510204082,0.362244897959184,FALSE,TRUE,FALSE,FALSE
"254",N588NW,45179,188,BA,1975,75,240.313829787234,10.5053191489362,0.398936170212766,FALSE,TRUE,FALSE,FALSE
"777",N108NN,45009,144,AA,429,47,312.5625,2.97916666666667,0.326388888888889,TRUE,FALSE,FALSE,FALSE
"1005",N130AN,44948,186,AA,927,60,241.655913978495,4.98387096774194,0.32258064516129,TRUE,FALSE,FALSE,FALSE
"657",N128AN,44887,169,AA,2398,67,265.603550295858,14.189349112426,0.396449704142012,TRUE,FALSE,FALSE,FALSE
"198",N112AN,44678,145,AA,300,46,308.124137931035,2.06896551724138,0.317241379310345,TRUE,FALSE,FALSE,FALSE
"152",N131NN,44637,169,AA,3186,65,264.12426035503,18.8520710059172,0.384615384615385,TRUE,FALSE,FALSE,FALSE
"998",N135NN,44523,179,AA,702,59,248.731843575419,3.92178770949721,0.329608938547486,TRUE,FALSE,FALSE,FALSE
"1347",N540US,44417,186,BA,2535,78,238.801075268817,13.6290322580645,0.419354838709677,FALSE,TRUE,FALSE,FALSE
"794",N584NW,44354,191,BA,90,65,232.219895287958,0.471204188481675,0.340314136125654,FALSE,TRUE,FALSE,FALSE
"1247",N111ZM,44294,143,AA,1227,52,309.748251748252,8.58041958041958,0.363636363636364,TRUE,FALSE,FALSE,FALSE
"1421",N113AN,44202,144,AA,1228,50,306.958333333333,8.52777777777778,0.347222222222222,TRUE,FALSE,FALSE,FALSE
"84",N537US,44101,196,BA,864,65,225.005102040816,4.40816326530612,0.331632653061224,FALSE,TRUE,FALSE,FALSE
"401",N587NW,43835,187,BA,2198,89,234.411764705882,11.7540106951872,0.475935828877005,FALSE,TRUE,FALSE,FALSE
"246",N125AA,43705,183,AA,1508,64,238.825136612022,8.24043715846994,0.349726775956284,TRUE,FALSE,FALSE,FALSE
"760",N106NN,43638,143,AA,-13,42,305.160839160839,-0.0909090909090909,0.293706293706294,TRUE,FALSE,FALSE,FALSE
"1231",N590NW,43396,185,BA,655,75,234.572972972973,3.54054054054054,0.405405405405405,FALSE,TRUE,FALSE,FALSE
